model_uid,model_source,model_name,weights
devtimm_convnext_xlarge_fb_in22k_ft_in1k_384,timm,convnext_xlarge,fb_in22k_ft_in1k_384
devtimm_convnext_xxlarge_clip_laion2b_rewind,timm,convnext_xxlarge,clip_laion2b_rewind
devtimm_convnext_xxlarge_clip_laion2b_soup,timm,convnext_xxlarge,clip_laion2b_soup
devtimm_convnextv2_atto_fcmae,timm,convnextv2_atto,fcmae
devtimm_convnextv2_atto_fcmae_ft_in1k,timm,convnextv2_atto,fcmae_ft_in1k
devtimm_convnextv2_base_fcmae,timm,convnextv2_base,fcmae
devtimm_convnextv2_base_fcmae_ft_in1k,timm,convnextv2_base,fcmae_ft_in1k
devtimm_convnextv2_base_fcmae_ft_in22k_in1k,timm,convnextv2_base,fcmae_ft_in22k_in1k
devtimm_convnextv2_base_fcmae_ft_in22k_in1k_384,timm,convnextv2_base,fcmae_ft_in22k_in1k_384
devtimm_convnextv2_femto_fcmae,timm,convnextv2_femto,fcmae
devtimm_convnextv2_femto_fcmae_ft_in1k,timm,convnextv2_femto,fcmae_ft_in1k
devtimm_convnextv2_huge_fcmae,timm,convnextv2_huge,fcmae
devtimm_convnextv2_huge_fcmae_ft_in1k,timm,convnextv2_huge,fcmae_ft_in1k
devtimm_convnextv2_huge_fcmae_ft_in22k_in1k_384,timm,convnextv2_huge,fcmae_ft_in22k_in1k_384
devtimm_convnextv2_huge_fcmae_ft_in22k_in1k_512,timm,convnextv2_huge,fcmae_ft_in22k_in1k_512
devtimm_convnextv2_large_fcmae,timm,convnextv2_large,fcmae
devtimm_convnextv2_large_fcmae_ft_in1k,timm,convnextv2_large,fcmae_ft_in1k
devtimm_convnextv2_large_fcmae_ft_in22k_in1k,timm,convnextv2_large,fcmae_ft_in22k_in1k
devtimm_convnextv2_large_fcmae_ft_in22k_in1k_384,timm,convnextv2_large,fcmae_ft_in22k_in1k_384
devtimm_convnextv2_nano_fcmae,timm,convnextv2_nano,fcmae
devtimm_convnextv2_nano_fcmae_ft_in1k,timm,convnextv2_nano,fcmae_ft_in1k
devtimm_convnextv2_nano_fcmae_ft_in22k_in1k,timm,convnextv2_nano,fcmae_ft_in22k_in1k
devtimm_convnextv2_nano_fcmae_ft_in22k_in1k_384,timm,convnextv2_nano,fcmae_ft_in22k_in1k_384
devtimm_convnextv2_pico_fcmae,timm,convnextv2_pico,fcmae
devtimm_convnextv2_pico_fcmae_ft_in1k,timm,convnextv2_pico,fcmae_ft_in1k
devtimm_convnextv2_tiny_fcmae,timm,convnextv2_tiny,fcmae
devtimm_convnextv2_tiny_fcmae_ft_in1k,timm,convnextv2_tiny,fcmae_ft_in1k
devtimm_convnextv2_tiny_fcmae_ft_in22k_in1k,timm,convnextv2_tiny,fcmae_ft_in22k_in1k
devtimm_convnextv2_tiny_fcmae_ft_in22k_in1k_384,timm,convnextv2_tiny,fcmae_ft_in22k_in1k_384
devtimm_crossvit_9_240,timm,crossvit_9_240,
devtimm_crossvit_9_dagger_240,timm,crossvit_9_dagger_240,
devtimm_crossvit_15_240,timm,crossvit_15_240,
devtimm_crossvit_15_dagger_240,timm,crossvit_15_dagger_240,
devtimm_crossvit_15_dagger_408,timm,crossvit_15_dagger_408,
devtimm_crossvit_18_240,timm,crossvit_18_240,
devtimm_crossvit_18_dagger_240,timm,crossvit_18_dagger_240,
devtimm_crossvit_18_dagger_408,timm,crossvit_18_dagger_408,
devtimm_crossvit_base_240,timm,crossvit_base_240,
devtimm_crossvit_small_240,timm,crossvit_small_240,
devtimm_crossvit_tiny_240,timm,crossvit_tiny_240,
devtimm_cs3darknet_focus_l,timm,cs3darknet_focus_l,
devtimm_cs3darknet_focus_m,timm,cs3darknet_focus_m,
devtimm_cs3darknet_l,timm,cs3darknet_l,
devtimm_cs3darknet_m,timm,cs3darknet_m,
devtimm_cs3darknet_x,timm,cs3darknet_x,
devtimm_cs3edgenet_x,timm,cs3edgenet_x,
devtimm_cs3se_edgenet_x,timm,cs3se_edgenet_x,
devtimm_cs3sedarknet_l,timm,cs3sedarknet_l,
devtimm_cs3sedarknet_x,timm,cs3sedarknet_x,
devtimm_cspdarknet53,timm,cspdarknet53,
devtimm_cspresnet50,timm,cspresnet50,
devtimm_cspresnext50,timm,cspresnext50,
devtimm_darknet53,timm,darknet53,
devtimm_darknetaa53,timm,darknetaa53,
devtimm_davit_base_msft_in1k,timm,davit_base,msft_in1k
devtimm_davit_small_msft_in1k,timm,davit_small,msft_in1k
devtimm_davit_tiny_msft_in1k,timm,davit_tiny,msft_in1k
devtimm_deit3_base_patch16_224_fb_in1k,timm,deit3_base_patch16_224,fb_in1k
devtimm_deit3_base_patch16_224_fb_in22k_ft_in1k,timm,deit3_base_patch16_224,fb_in22k_ft_in1k
devtimm_deit3_base_patch16_384_fb_in1k,timm,deit3_base_patch16_384,fb_in1k
devtimm_deit3_base_patch16_384_fb_in22k_ft_in1k,timm,deit3_base_patch16_384,fb_in22k_ft_in1k
devtimm_deit3_huge_patch14_224_fb_in1k,timm,deit3_huge_patch14_224,fb_in1k
devtimm_deit3_huge_patch14_224_fb_in22k_ft_in1k,timm,deit3_huge_patch14_224,fb_in22k_ft_in1k
devtimm_deit3_large_patch16_224_fb_in1k,timm,deit3_large_patch16_224,fb_in1k
devtimm_deit3_large_patch16_224_fb_in22k_ft_in1k,timm,deit3_large_patch16_224,fb_in22k_ft_in1k
devtimm_deit3_large_patch16_384_fb_in1k,timm,deit3_large_patch16_384,fb_in1k
devtimm_deit3_large_patch16_384_fb_in22k_ft_in1k,timm,deit3_large_patch16_384,fb_in22k_ft_in1k
devtimm_deit3_medium_patch16_224_fb_in1k,timm,deit3_medium_patch16_224,fb_in1k
devtimm_deit3_medium_patch16_224_fb_in22k_ft_in1k,timm,deit3_medium_patch16_224,fb_in22k_ft_in1k
devtimm_deit3_small_patch16_224_fb_in1k,timm,deit3_small_patch16_224,fb_in1k
devtimm_deit3_small_patch16_224_fb_in22k_ft_in1k,timm,deit3_small_patch16_224,fb_in22k_ft_in1k
devtimm_deit3_small_patch16_384_fb_in1k,timm,deit3_small_patch16_384,fb_in1k
devtimm_deit3_small_patch16_384_fb_in22k_ft_in1k,timm,deit3_small_patch16_384,fb_in22k_ft_in1k
devtimm_deit_base_distilled_patch16_224_fb_in1k,timm,deit_base_distilled_patch16_224,fb_in1k
devtimm_deit_base_distilled_patch16_384_fb_in1k,timm,deit_base_distilled_patch16_384,fb_in1k
devtimm_deit_base_patch16_224_fb_in1k,timm,deit_base_patch16_224,fb_in1k
devtimm_deit_base_patch16_384_fb_in1k,timm,deit_base_patch16_384,fb_in1k
devtimm_deit_small_distilled_patch16_224_fb_in1k,timm,deit_small_distilled_patch16_224,fb_in1k
devtimm_deit_small_patch16_224_fb_in1k,timm,deit_small_patch16_224,fb_in1k
devtimm_deit_tiny_distilled_patch16_224_fb_in1k,timm,deit_tiny_distilled_patch16_224,fb_in1k
devtimm_deit_tiny_patch16_224_fb_in1k,timm,deit_tiny_patch16_224,fb_in1k
devtimm_densenet121,timm,densenet121,
devtimm_densenet161,timm,densenet161,
devtimm_densenet169,timm,densenet169,
devtimm_densenet201,timm,densenet201,
devtimm_densenetblur121d,timm,densenetblur121d,
devtimm_dla34,timm,dla34,
devtimm_dla46_c,timm,dla46_c,
devtimm_dla46x_c,timm,dla46x_c,
devtimm_dla60,timm,dla60,
devtimm_dla60_res2net,timm,dla60_res2net,
devtimm_dla60_res2next,timm,dla60_res2next,
devtimm_dla60x,timm,dla60x,
devtimm_dla60x_c,timm,dla60x_c,
devtimm_dla102,timm,dla102,
devtimm_dla102x,timm,dla102x,
devtimm_dla102x2,timm,dla102x2,
devtimm_dla169,timm,dla169,
devtimm_dm_nfnet_f0_dm_in1k,timm,dm_nfnet_f0,dm_in1k
devtimm_dm_nfnet_f1_dm_in1k,timm,dm_nfnet_f1,dm_in1k
devtimm_dm_nfnet_f2_dm_in1k,timm,dm_nfnet_f2,dm_in1k
devtimm_dm_nfnet_f3_dm_in1k,timm,dm_nfnet_f3,dm_in1k
devtimm_dm_nfnet_f4_dm_in1k,timm,dm_nfnet_f4,dm_in1k
